LightPink1	#ffbdc5	255	189	197	{65535, 48573, 50629}
pink4	#9d777f	157	119	127	{40349, 30583, 32639}
pink3	#d7a3ad	215	163	173	{55255, 41891, 44461}
pink2	#f2b9c4	242	185	196	{62194, 47545, 50372}
pink1	#ffc3cf	255	195	207	{65535, 50115, 53199}
HotPink4	#9e4f75	158	79	117	{40606, 20303, 30069}
HotPink3	#d878a1	216	120	161	{55512, 30840, 41377}
HotPink2	#f383b5	243	131	181	{62451, 33667, 46517}
HotPink1	#ff87c1	255	135	193	{65535, 34695, 49601}
DeepPink4	#9e1e62	158	30	98	{40606, 7710, 25186}
DeepPink3	#d82e88	216	46	136	{55512, 11822, 34952}
DeepPink2	#f4359a	244	53	154	{62708, 13621, 39578}
DeepPink1	#ff39a3	255	57	163	{65535, 14649, 41891}
red4	#9e1200	158	18	0	{40606, 4626, 0}
red3	#d81e00	216	30	0	{55512, 7710, 0}
red2	#f42300	244	35	0	{62708, 8995, 0}
red1	#ff2600	255	38	0	{65535, 9766, 0}
OrangeRed4	#9e3500	158	53	0	{40606, 13621, 0}
OrangeRed3	#d84c00	216	76	0	{55512, 19532, 0}
OrangeRed2	#f35700	243	87	0	{62451, 22359, 0}
OrangeRed1	#ff5d00	255	93	0	{65535, 23901, 0}
tomato4	#9e4832	158	72	50	{40606, 18504, 12850}
tomato3	#d86548	216	101	72	{55512, 25957, 18504}
tomato2	#f37252	243	114	82	{62451, 29298, 21074}
tomato1	#ff7a58	255	122	88	{65535, 31354, 22616}
coral4	#9e513d	158	81	61	{40606, 20817, 15677}
coral3	#d87056	216	112	86	{55512, 28784, 22102}
coral2	#f38062	243	128	98	{62451, 32896, 25186}
coral1	#ff8868	255	136	104	{65535, 34952, 26728}
DarkOrange4	#9d5700	157	87	0	{40349, 22359, 0}
DarkOrange3	#d87a00	216	122	0	{55512, 31354, 0}
DarkOrange2	#f38900	243	137	0	{62451, 35209, 0}
DarkOrange1	#ff9200	255	146	0	{65535, 37522, 0}
orange4	#9d6c00	157	108	0	{40349, 27756, 0}
orange3	#d79600	215	150	0	{55255, 38550, 0}
orange2	#f2a900	242	169	0	{62194, 43433, 0}
orange1	#ffb300	255	179	0	{65535, 46003, 0}
LightSalmon4	#9d6a53	157	106	83	{40349, 27242, 21331}
LightSalmon3	#d79474	215	148	116	{55255, 38036, 29812}
LightSalmon2	#f2a684	242	166	132	{62194, 42662, 33924}
LightSalmon1	#ffb08c	255	176	140	{65535, 45232, 35980}
salmon4	#9d5f49	157	95	73	{40349, 24415, 18761}
salmon3	#d78466	215	132	102	{55255, 33924, 26214}
salmon2	#f39574	243	149	116	{62451, 38293, 29812}
salmon1	#ff9f7b	255	159	123	{65535, 40863, 31611}
